StartTime,Date,Time,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
01/01/2017 00:00,01/01/2017,00:00,APXMIDP,01/01/2017,1,44.9,505
01/01/2017 00:30,01/01/2017,00:30,APXMIDP,01/01/2017,2,47.13,559.15
01/01/2017 01:00,01/01/2017,01:00,APXMIDP,01/01/2017,3,45.62,649.35
01/01/2017 01:30,01/01/2017,01:30,APXMIDP,01/01/2017,4,44.05,712.65
01/01/2017 02:00,01/01/2017,02:00,APXMIDP,01/01/2017,5,44.83,599.15
01/01/2017 02:30,01/01/2017,02:30,APXMIDP,01/01/2017,6,45.51,499.3
01/01/2017 03:00,01/01/2017,03:00,APXMIDP,01/01/2017,7,44.85,474.5
01/01/2017 03:30,01/01/2017,03:30,APXMIDP,01/01/2017,8,42.8,487
01/01/2017 04:00,01/01/2017,04:00,APXMIDP,01/01/2017,9,42.33,348.85
01/01/2017 04:30,01/01/2017,04:30,APXMIDP,01/01/2017,10,40.87,262.3
01/01/2017 05:00,01/01/2017,05:00,APXMIDP,01/01/2017,11,41.53,341.5
01/01/2017 05:30,01/01/2017,05:30,APXMIDP,01/01/2017,12,41.89,350.75
01/01/2017 06:00,01/01/2017,06:00,APXMIDP,01/01/2017,13,42.64,447.2
01/01/2017 06:30,01/01/2017,06:30,APXMIDP,01/01/2017,14,42.61,501
01/01/2017 07:00,01/01/2017,07:00,APXMIDP,01/01/2017,15,40.78,1157.5
01/01/2017 07:30,01/01/2017,07:30,APXMIDP,01/01/2017,16,39.43,1006.5
01/01/2017 08:00,01/01/2017,08:00,APXMIDP,01/01/2017,17,38.29,1073
01/01/2017 08:30,01/01/2017,08:30,APXMIDP,01/01/2017,18,38.99,1069
01/01/2017 09:00,01/01/2017,09:00,APXMIDP,01/01/2017,19,42.46,835
01/01/2017 09:30,01/01/2017,09:30,APXMIDP,01/01/2017,20,42.53,753.75
01/01/2017 10:00,01/01/2017,10:00,APXMIDP,01/01/2017,21,41.86,653.45
01/01/2017 10:30,01/01/2017,10:30,APXMIDP,01/01/2017,22,41.74,801.9
01/01/2017 11:00,01/01/2017,11:00,APXMIDP,01/01/2017,23,40.77,448.45
01/01/2017 11:30,01/01/2017,11:30,APXMIDP,01/01/2017,24,40.33,529.35
01/01/2017 12:00,01/01/2017,12:00,APXMIDP,01/01/2017,25,42.65,479.85
01/01/2017 12:30,01/01/2017,12:30,APXMIDP,01/01/2017,26,42.71,474.35
01/01/2017 13:00,01/01/2017,13:00,APXMIDP,01/01/2017,27,44.06,505.7
01/01/2017 13:30,01/01/2017,13:30,APXMIDP,01/01/2017,28,45,529
01/01/2017 14:00,01/01/2017,14:00,APXMIDP,01/01/2017,29,43.24,489.55
01/01/2017 14:30,01/01/2017,14:30,APXMIDP,01/01/2017,30,41.49,510.9
01/01/2017 15:00,01/01/2017,15:00,APXMIDP,01/01/2017,31,43.82,775.75
01/01/2017 15:30,01/01/2017,15:30,APXMIDP,01/01/2017,32,42.5,624.25
01/01/2017 16:00,01/01/2017,16:00,APXMIDP,01/01/2017,33,43.73,488.3
01/01/2017 16:30,01/01/2017,16:30,APXMIDP,01/01/2017,34,53.34,362.3
01/01/2017 17:00,01/01/2017,17:00,APXMIDP,01/01/2017,35,67.98,434.65
01/01/2017 17:30,01/01/2017,17:30,APXMIDP,01/01/2017,36,59.17,414.4
01/01/2017 18:00,01/01/2017,18:00,APXMIDP,01/01/2017,37,50.79,547.2
01/01/2017 18:30,01/01/2017,18:30,APXMIDP,01/01/2017,38,44.67,834.75
01/01/2017 19:00,01/01/2017,19:00,APXMIDP,01/01/2017,39,48.52,863.85
01/01/2017 19:30,01/01/2017,19:30,APXMIDP,01/01/2017,40,47.52,974.75
01/01/2017 20:00,01/01/2017,20:00,APXMIDP,01/01/2017,41,47.08,1015.25
01/01/2017 20:30,01/01/2017,20:30,APXMIDP,01/01/2017,42,48.15,879.85
01/01/2017 21:00,01/01/2017,21:00,APXMIDP,01/01/2017,43,46.03,884.5
01/01/2017 21:30,01/01/2017,21:30,APXMIDP,01/01/2017,44,43.87,1194.45
01/01/2017 22:00,01/01/2017,22:00,APXMIDP,01/01/2017,45,45.51,989.95
01/01/2017 22:30,01/01/2017,22:30,APXMIDP,01/01/2017,46,44.95,969.35
01/01/2017 23:00,01/01/2017,23:00,APXMIDP,01/01/2017,47,42.91,506.95
01/01/2017 23:30,01/01/2017,23:30,APXMIDP,01/01/2017,48,41.05,771.25
02/01/2017 00:00,01/02/2017,00:00,APXMIDP,02/01/2017,1,42.59,529.7
02/01/2017 00:30,01/02/2017,00:30,APXMIDP,02/01/2017,2,44.45,414.8
02/01/2017 01:00,01/02/2017,01:00,APXMIDP,02/01/2017,3,43.28,546
02/01/2017 01:30,01/02/2017,01:30,APXMIDP,02/01/2017,4,42.84,341.3
02/01/2017 02:00,01/02/2017,02:00,APXMIDP,02/01/2017,5,42.91,402.3
02/01/2017 02:30,01/02/2017,02:30,APXMIDP,02/01/2017,6,43.14,463.7
02/01/2017 03:00,01/02/2017,03:00,APXMIDP,02/01/2017,7,43.37,307.65
02/01/2017 03:30,01/02/2017,03:30,APXMIDP,02/01/2017,8,41.19,436.1
02/01/2017 04:00,01/02/2017,04:00,APXMIDP,02/01/2017,9,41.92,458.55
02/01/2017 04:30,01/02/2017,04:30,APXMIDP,02/01/2017,10,41.3,445.85
02/01/2017 05:00,01/02/2017,05:00,APXMIDP,02/01/2017,11,43.84,547.5
02/01/2017 05:30,01/02/2017,05:30,APXMIDP,02/01/2017,12,44.29,448.15
02/01/2017 06:00,01/02/2017,06:00,APXMIDP,02/01/2017,13,45.11,509.9
02/01/2017 06:30,01/02/2017,06:30,APXMIDP,02/01/2017,14,41,972.25
02/01/2017 07:00,01/02/2017,07:00,APXMIDP,02/01/2017,15,42.97,545
02/01/2017 07:30,01/02/2017,07:30,APXMIDP,02/01/2017,16,43.27,894
02/01/2017 08:00,01/02/2017,08:00,APXMIDP,02/01/2017,17,42.08,445
02/01/2017 08:30,01/02/2017,08:30,APXMIDP,02/01/2017,18,41.51,554.2
02/01/2017 09:00,01/02/2017,09:00,APXMIDP,02/01/2017,19,45.5,526.7
02/01/2017 09:30,01/02/2017,09:30,APXMIDP,02/01/2017,20,45.52,558.55
02/01/2017 10:00,01/02/2017,10:00,APXMIDP,02/01/2017,21,44.22,572.3
02/01/2017 10:30,01/02/2017,10:30,APXMIDP,02/01/2017,22,45.11,569.5
02/01/2017 11:00,01/02/2017,11:00,APXMIDP,02/01/2017,23,46.03,550.8
02/01/2017 11:30,01/02/2017,11:30,APXMIDP,02/01/2017,24,46.7,645.95
02/01/2017 12:00,01/02/2017,12:00,APXMIDP,02/01/2017,25,47.52,563.5
02/01/2017 12:30,01/02/2017,12:30,APXMIDP,02/01/2017,26,46.73,603
02/01/2017 13:00,01/02/2017,13:00,APXMIDP,02/01/2017,27,45.98,640.85
02/01/2017 13:30,01/02/2017,13:30,APXMIDP,02/01/2017,28,45.6,637.9
02/01/2017 14:00,01/02/2017,14:00,APXMIDP,02/01/2017,29,46.04,645.5
02/01/2017 14:30,01/02/2017,14:30,APXMIDP,02/01/2017,30,45.23,705.1
02/01/2017 15:00,01/02/2017,15:00,APXMIDP,02/01/2017,31,45.76,496.85
02/01/2017 15:30,01/02/2017,15:30,APXMIDP,02/01/2017,32,44.88,592.7
02/01/2017 16:00,01/02/2017,16:00,APXMIDP,02/01/2017,33,43.64,780.8
02/01/2017 16:30,01/02/2017,16:30,APXMIDP,02/01/2017,34,74.2,627.9
02/01/2017 17:00,01/02/2017,17:00,APXMIDP,02/01/2017,35,75.62,427.15
02/01/2017 17:30,01/02/2017,17:30,APXMIDP,02/01/2017,36,73,524.75
02/01/2017 18:00,01/02/2017,18:00,APXMIDP,02/01/2017,37,68.44,565.65
02/01/2017 18:30,01/02/2017,18:30,APXMIDP,02/01/2017,38,65.55,668.6
02/01/2017 19:00,01/02/2017,19:00,APXMIDP,02/01/2017,39,72.51,831.7
02/01/2017 19:30,01/02/2017,19:30,APXMIDP,02/01/2017,40,56.32,343.25
02/01/2017 20:00,01/02/2017,20:00,APXMIDP,02/01/2017,41,51.28,431.9
02/01/2017 20:30,01/02/2017,20:30,APXMIDP,02/01/2017,42,50.78,446.75
02/01/2017 21:00,01/02/2017,21:00,APXMIDP,02/01/2017,43,48.72,718.95
02/01/2017 21:30,01/02/2017,21:30,APXMIDP,02/01/2017,44,45.37,635.15
02/01/2017 22:00,01/02/2017,22:00,APXMIDP,02/01/2017,45,46.71,625.45
02/01/2017 22:30,01/02/2017,22:30,APXMIDP,02/01/2017,46,44.67,785.75
02/01/2017 23:00,01/02/2017,23:00,APXMIDP,02/01/2017,47,44.58,594.3
02/01/2017 23:30,01/02/2017,23:30,APXMIDP,02/01/2017,48,43.74,563.05
03/01/2017 00:00,01/03/2017,00:00,APXMIDP,03/01/2017,1,43.33,482.4
03/01/2017 00:30,01/03/2017,00:30,APXMIDP,03/01/2017,2,44.44,624.75
03/01/2017 01:00,01/03/2017,01:00,APXMIDP,03/01/2017,3,43.53,570.95
03/01/2017 01:30,01/03/2017,01:30,APXMIDP,03/01/2017,4,42.05,496.95
03/01/2017 02:00,01/03/2017,02:00,APXMIDP,03/01/2017,5,40.77,522.2
03/01/2017 02:30,01/03/2017,02:30,APXMIDP,03/01/2017,6,40.83,466.05
03/01/2017 03:00,01/03/2017,03:00,APXMIDP,03/01/2017,7,39.5,569.45
03/01/2017 03:30,01/03/2017,03:30,APXMIDP,03/01/2017,8,39.21,542.55
03/01/2017 04:00,01/03/2017,04:00,APXMIDP,03/01/2017,9,38.88,618.25
03/01/2017 04:30,01/03/2017,04:30,APXMIDP,03/01/2017,10,38.66,557.5
03/01/2017 05:00,01/03/2017,05:00,APXMIDP,03/01/2017,11,40.08,675.75
03/01/2017 05:30,01/03/2017,05:30,APXMIDP,03/01/2017,12,40.58,567.5
03/01/2017 06:00,01/03/2017,06:00,APXMIDP,03/01/2017,13,45.42,749.5
03/01/2017 06:30,01/03/2017,06:30,APXMIDP,03/01/2017,14,45.59,831.95
03/01/2017 07:00,01/03/2017,07:00,APXMIDP,03/01/2017,15,46.9,1208.5
03/01/2017 07:30,01/03/2017,07:30,APXMIDP,03/01/2017,16,47.57,1089.05
03/01/2017 08:00,01/03/2017,08:00,APXMIDP,03/01/2017,17,47.95,895.25
03/01/2017 08:30,01/03/2017,08:30,APXMIDP,03/01/2017,18,46.84,706
03/01/2017 09:00,01/03/2017,09:00,APXMIDP,03/01/2017,19,49.16,727.05
03/01/2017 09:30,01/03/2017,09:30,APXMIDP,03/01/2017,20,52.39,810
03/01/2017 10:00,01/03/2017,10:00,APXMIDP,03/01/2017,21,54.48,1018.85
03/01/2017 10:30,01/03/2017,10:30,APXMIDP,03/01/2017,22,53.83,1079.85
03/01/2017 11:00,01/03/2017,11:00,APXMIDP,03/01/2017,23,50.47,1202.25
03/01/2017 11:30,01/03/2017,11:30,APXMIDP,03/01/2017,24,49.57,1327.15
03/01/2017 12:00,01/03/2017,12:00,APXMIDP,03/01/2017,25,49.17,1313.45
03/01/2017 12:30,01/03/2017,12:30,APXMIDP,03/01/2017,26,47.85,1525.75
03/01/2017 13:00,01/03/2017,13:00,APXMIDP,03/01/2017,27,46.76,1703.7
03/01/2017 13:30,01/03/2017,13:30,APXMIDP,03/01/2017,28,46.41,1775.8
03/01/2017 14:00,01/03/2017,14:00,APXMIDP,03/01/2017,29,46.02,1898.8
03/01/2017 14:30,01/03/2017,14:30,APXMIDP,03/01/2017,30,46.21,1841.3
03/01/2017 15:00,01/03/2017,15:00,APXMIDP,03/01/2017,31,55.67,1043.6
03/01/2017 15:30,01/03/2017,15:30,APXMIDP,03/01/2017,32,55.43,1074.5
03/01/2017 16:00,01/03/2017,16:00,APXMIDP,03/01/2017,33,52.37,1471.3
03/01/2017 16:30,01/03/2017,16:30,APXMIDP,03/01/2017,34,62.07,1257.05
03/01/2017 17:00,01/03/2017,17:00,APXMIDP,03/01/2017,35,66.77,1303.75
03/01/2017 17:30,01/03/2017,17:30,APXMIDP,03/01/2017,36,65.57,1369.95
03/01/2017 18:00,01/03/2017,18:00,APXMIDP,03/01/2017,37,63.84,1617.1
03/01/2017 18:30,01/03/2017,18:30,APXMIDP,03/01/2017,38,61.88,1435.15
03/01/2017 19:00,01/03/2017,19:00,APXMIDP,03/01/2017,39,50.52,1616.7
03/01/2017 19:30,01/03/2017,19:30,APXMIDP,03/01/2017,40,47.68,1497.95
03/01/2017 20:00,01/03/2017,20:00,APXMIDP,03/01/2017,41,47.8,1435.1
03/01/2017 20:30,01/03/2017,20:30,APXMIDP,03/01/2017,42,47.25,1431.15
03/01/2017 21:00,01/03/2017,21:00,APXMIDP,03/01/2017,43,46.91,1540.05
03/01/2017 21:30,01/03/2017,21:30,APXMIDP,03/01/2017,44,45.34,1782.05
03/01/2017 22:00,01/03/2017,22:00,APXMIDP,03/01/2017,45,44.86,1297.4
03/01/2017 22:30,01/03/2017,22:30,APXMIDP,03/01/2017,46,43.12,1301.65
03/01/2017 23:00,01/03/2017,23:00,APXMIDP,03/01/2017,47,39.3,430.55
03/01/2017 23:30,01/03/2017,23:30,APXMIDP,03/01/2017,48,38.01,387.95
04/01/2017 00:00,01/04/2017,00:00,APXMIDP,04/01/2017,1,38.19,599.85
04/01/2017 00:30,01/04/2017,00:30,APXMIDP,04/01/2017,2,38.87,441.9
04/01/2017 01:00,01/04/2017,01:00,APXMIDP,04/01/2017,3,37.52,352.55
04/01/2017 01:30,01/04/2017,01:30,APXMIDP,04/01/2017,4,36.51,340.25
04/01/2017 02:00,01/04/2017,02:00,APXMIDP,04/01/2017,5,36.91,245.5
04/01/2017 02:30,01/04/2017,02:30,APXMIDP,04/01/2017,6,35.95,352.35
04/01/2017 03:00,01/04/2017,03:00,APXMIDP,04/01/2017,7,31.71,367
04/01/2017 03:30,01/04/2017,03:30,APXMIDP,04/01/2017,8,28.53,387.65
04/01/2017 04:00,01/04/2017,04:00,APXMIDP,04/01/2017,9,25.8,486
04/01/2017 04:30,01/04/2017,04:30,APXMIDP,04/01/2017,10,27.35,464.5
04/01/2017 05:00,01/04/2017,05:00,APXMIDP,04/01/2017,11,24.33,227
04/01/2017 05:30,01/04/2017,05:30,APXMIDP,04/01/2017,12,30.15,412.95
04/01/2017 06:00,01/04/2017,06:00,APXMIDP,04/01/2017,13,36.16,284.45
04/01/2017 06:30,01/04/2017,06:30,APXMIDP,04/01/2017,14,35.54,761.7
04/01/2017 07:00,01/04/2017,07:00,APXMIDP,04/01/2017,15,43.31,962.15
04/01/2017 07:30,01/04/2017,07:30,APXMIDP,04/01/2017,16,45.32,904.15
04/01/2017 08:00,01/04/2017,08:00,APXMIDP,04/01/2017,17,46.64,883.6
04/01/2017 08:30,01/04/2017,08:30,APXMIDP,04/01/2017,18,45.16,714.85
04/01/2017 09:00,01/04/2017,09:00,APXMIDP,04/01/2017,19,43.8,727
04/01/2017 09:30,01/04/2017,09:30,APXMIDP,04/01/2017,20,42.49,702.55
04/01/2017 10:00,01/04/2017,10:00,APXMIDP,04/01/2017,21,42.74,733.95
04/01/2017 10:30,01/04/2017,10:30,APXMIDP,04/01/2017,22,43.53,649.4
04/01/2017 11:00,01/04/2017,11:00,APXMIDP,04/01/2017,23,43.49,710.45
04/01/2017 11:30,01/04/2017,11:30,APXMIDP,04/01/2017,24,45.02,792.45
04/01/2017 12:00,01/04/2017,12:00,APXMIDP,04/01/2017,25,45.58,618.8
04/01/2017 12:30,01/04/2017,12:30,APXMIDP,04/01/2017,26,46.23,648.25
04/01/2017 13:00,01/04/2017,13:00,APXMIDP,04/01/2017,27,48.12,649
04/01/2017 13:30,01/04/2017,13:30,APXMIDP,04/01/2017,28,45.66,614.55
04/01/2017 14:00,01/04/2017,14:00,APXMIDP,04/01/2017,29,46.35,667.5
04/01/2017 14:30,01/04/2017,14:30,APXMIDP,04/01/2017,30,45,790.35
04/01/2017 15:00,01/04/2017,15:00,APXMIDP,04/01/2017,31,46.89,1634.05
04/01/2017 15:30,01/04/2017,15:30,APXMIDP,04/01/2017,32,48.23,1508.6
04/01/2017 16:00,01/04/2017,16:00,APXMIDP,04/01/2017,33,48.14,1478.4
04/01/2017 16:30,01/04/2017,16:30,APXMIDP,04/01/2017,34,54.54,1127.4
04/01/2017 17:00,01/04/2017,17:00,APXMIDP,04/01/2017,35,59.67,1190.75
04/01/2017 17:30,01/04/2017,17:30,APXMIDP,04/01/2017,36,59.1,1188.8
04/01/2017 18:00,01/04/2017,18:00,APXMIDP,04/01/2017,37,58.12,1238.05
04/01/2017 18:30,01/04/2017,18:30,APXMIDP,04/01/2017,38,56.83,1381.55
04/01/2017 19:00,01/04/2017,19:00,APXMIDP,04/01/2017,39,54.35,1334.4
04/01/2017 19:30,01/04/2017,19:30,APXMIDP,04/01/2017,40,48.69,1209.9
04/01/2017 20:00,01/04/2017,20:00,APXMIDP,04/01/2017,41,49.6,1040.4
04/01/2017 20:30,01/04/2017,20:30,APXMIDP,04/01/2017,42,47,1208.8
04/01/2017 21:00,01/04/2017,21:00,APXMIDP,04/01/2017,43,47.7,1158.1
04/01/2017 21:30,01/04/2017,21:30,APXMIDP,04/01/2017,44,47.24,1193.5
04/01/2017 22:00,01/04/2017,22:00,APXMIDP,04/01/2017,45,45.91,1381.25
04/01/2017 22:30,01/04/2017,22:30,APXMIDP,04/01/2017,46,44.78,1659.5
04/01/2017 23:00,01/04/2017,23:00,APXMIDP,04/01/2017,47,42.9,425.55
04/01/2017 23:30,01/04/2017,23:30,APXMIDP,04/01/2017,48,42.16,262
05/01/2017 00:00,01/05/2017,00:00,APXMIDP,05/01/2017,1,41.62,346
05/01/2017 00:30,01/05/2017,00:30,APXMIDP,05/01/2017,2,42.86,191.25
05/01/2017 01:00,01/05/2017,01:00,APXMIDP,05/01/2017,3,42.28,214.8
05/01/2017 01:30,01/05/2017,01:30,APXMIDP,05/01/2017,4,40.12,126.9
05/01/2017 02:00,01/05/2017,02:00,APXMIDP,05/01/2017,5,38.4,260.1
05/01/2017 02:30,01/05/2017,02:30,APXMIDP,05/01/2017,6,39.13,273.6
05/01/2017 03:00,01/05/2017,03:00,APXMIDP,05/01/2017,7,40.11,113.5
05/01/2017 03:30,01/05/2017,03:30,APXMIDP,05/01/2017,8,38.55,198.45
05/01/2017 04:00,01/05/2017,04:00,APXMIDP,05/01/2017,9,40.33,127.5
05/01/2017 04:30,01/05/2017,04:30,APXMIDP,05/01/2017,10,40.16,166.5
05/01/2017 05:00,01/05/2017,05:00,APXMIDP,05/01/2017,11,42.94,259.5
05/01/2017 05:30,01/05/2017,05:30,APXMIDP,05/01/2017,12,41.26,152
05/01/2017 06:00,01/05/2017,06:00,APXMIDP,05/01/2017,13,45.84,404.1
05/01/2017 06:30,01/05/2017,06:30,APXMIDP,05/01/2017,14,45.46,814.35
05/01/2017 07:00,01/05/2017,07:00,APXMIDP,05/01/2017,15,45.52,490.55
05/01/2017 07:30,01/05/2017,07:30,APXMIDP,05/01/2017,16,72.36,331.5
05/01/2017 08:00,01/05/2017,08:00,APXMIDP,05/01/2017,17,73.65,335
05/01/2017 08:30,01/05/2017,08:30,APXMIDP,05/01/2017,18,73.78,424.5
05/01/2017 09:00,01/05/2017,09:00,APXMIDP,05/01/2017,19,79.36,481
05/01/2017 09:30,01/05/2017,09:30,APXMIDP,05/01/2017,20,80.49,442
05/01/2017 10:00,01/05/2017,10:00,APXMIDP,05/01/2017,21,76.69,605.8
05/01/2017 10:30,01/05/2017,10:30,APXMIDP,05/01/2017,22,69.78,541
05/01/2017 11:00,01/05/2017,11:00,APXMIDP,05/01/2017,23,52.66,730.15
05/01/2017 11:30,01/05/2017,11:30,APXMIDP,05/01/2017,24,53.1,808.5
05/01/2017 12:00,01/05/2017,12:00,APXMIDP,05/01/2017,25,52.03,867.35
05/01/2017 12:30,01/05/2017,12:30,APXMIDP,05/01/2017,26,51.23,796.75
05/01/2017 13:00,01/05/2017,13:00,APXMIDP,05/01/2017,27,48.49,648.75
05/01/2017 13:30,01/05/2017,13:30,APXMIDP,05/01/2017,28,47.86,733.45
05/01/2017 14:00,01/05/2017,14:00,APXMIDP,05/01/2017,29,50.24,791.75
05/01/2017 14:30,01/05/2017,14:30,APXMIDP,05/01/2017,30,50.16,658.4
05/01/2017 15:00,01/05/2017,15:00,APXMIDP,05/01/2017,31,55.73,802.3
05/01/2017 15:30,01/05/2017,15:30,APXMIDP,05/01/2017,32,59.75,666.65
05/01/2017 16:00,01/05/2017,16:00,APXMIDP,05/01/2017,33,50.12,972.2
05/01/2017 16:30,01/05/2017,16:30,APXMIDP,05/01/2017,34,69.01,744
05/01/2017 17:00,01/05/2017,17:00,APXMIDP,05/01/2017,35,78.75,800.4
05/01/2017 17:30,01/05/2017,17:30,APXMIDP,05/01/2017,36,75.82,853.7
05/01/2017 18:00,01/05/2017,18:00,APXMIDP,05/01/2017,37,61.2,964.25
05/01/2017 18:30,01/05/2017,18:30,APXMIDP,05/01/2017,38,58.73,1105.9
05/01/2017 19:00,01/05/2017,19:00,APXMIDP,05/01/2017,39,54.56,967.15
05/01/2017 19:30,01/05/2017,19:30,APXMIDP,05/01/2017,40,52.05,954.55
05/01/2017 20:00,01/05/2017,20:00,APXMIDP,05/01/2017,41,50.37,571.3
05/01/2017 20:30,01/05/2017,20:30,APXMIDP,05/01/2017,42,49,703.4
05/01/2017 21:00,01/05/2017,21:00,APXMIDP,05/01/2017,43,46.35,599.55
05/01/2017 21:30,01/05/2017,21:30,APXMIDP,05/01/2017,44,44.51,728.3
05/01/2017 22:00,01/05/2017,22:00,APXMIDP,05/01/2017,45,44.28,621.6
05/01/2017 22:30,01/05/2017,22:30,APXMIDP,05/01/2017,46,42.74,1132.8
05/01/2017 23:00,01/05/2017,23:00,APXMIDP,05/01/2017,47,44.54,260.65
05/01/2017 23:30,01/05/2017,23:30,APXMIDP,05/01/2017,48,50.78,237.5
06/01/2017 00:00,01/06/2017,00:00,APXMIDP,06/01/2017,1,49.99,387.95
06/01/2017 00:30,01/06/2017,00:30,APXMIDP,06/01/2017,2,48.33,295.5
06/01/2017 01:00,01/06/2017,01:00,APXMIDP,06/01/2017,3,49.78,361.8
06/01/2017 01:30,01/06/2017,01:30,APXMIDP,06/01/2017,4,47.72,383.35
06/01/2017 02:00,01/06/2017,02:00,APXMIDP,06/01/2017,5,46.79,348.6
06/01/2017 02:30,01/06/2017,02:30,APXMIDP,06/01/2017,6,48.47,364.45
06/01/2017 03:00,01/06/2017,03:00,APXMIDP,06/01/2017,7,44.99,556.9
06/01/2017 03:30,01/06/2017,03:30,APXMIDP,06/01/2017,8,43.98,503.65
06/01/2017 04:00,01/06/2017,04:00,APXMIDP,06/01/2017,9,44.07,510.25
06/01/2017 04:30,01/06/2017,04:30,APXMIDP,06/01/2017,10,43.68,535.7
06/01/2017 05:00,01/06/2017,05:00,APXMIDP,06/01/2017,11,44.34,372
06/01/2017 05:30,01/06/2017,05:30,APXMIDP,06/01/2017,12,43.62,266.8
06/01/2017 06:00,01/06/2017,06:00,APXMIDP,06/01/2017,13,46.89,458.95
06/01/2017 06:30,01/06/2017,06:30,APXMIDP,06/01/2017,14,43.38,906.55
06/01/2017 07:00,01/06/2017,07:00,APXMIDP,06/01/2017,15,44.22,844.5
06/01/2017 07:30,01/06/2017,07:30,APXMIDP,06/01/2017,16,46.75,593.25
06/01/2017 08:00,01/06/2017,08:00,APXMIDP,06/01/2017,17,53.84,539.1
06/01/2017 08:30,01/06/2017,08:30,APXMIDP,06/01/2017,18,54.03,565.05
06/01/2017 09:00,01/06/2017,09:00,APXMIDP,06/01/2017,19,50.76,471.05
06/01/2017 09:30,01/06/2017,09:30,APXMIDP,06/01/2017,20,50.11,549.45
06/01/2017 10:00,01/06/2017,10:00,APXMIDP,06/01/2017,21,48.34,662.35
06/01/2017 10:30,01/06/2017,10:30,APXMIDP,06/01/2017,22,48.9,615.9
06/01/2017 11:00,01/06/2017,11:00,APXMIDP,06/01/2017,23,47.35,666.5
06/01/2017 11:30,01/06/2017,11:30,APXMIDP,06/01/2017,24,46.98,702.55
06/01/2017 12:00,01/06/2017,12:00,APXMIDP,06/01/2017,25,54.44,742.6
06/01/2017 12:30,01/06/2017,12:30,APXMIDP,06/01/2017,26,53.56,682.05
06/01/2017 13:00,01/06/2017,13:00,APXMIDP,06/01/2017,27,52.88,822.95
06/01/2017 13:30,01/06/2017,13:30,APXMIDP,06/01/2017,28,51.23,754.45
06/01/2017 14:00,01/06/2017,14:00,APXMIDP,06/01/2017,29,52.72,849.2
06/01/2017 14:30,01/06/2017,14:30,APXMIDP,06/01/2017,30,52.96,933.35
06/01/2017 15:00,01/06/2017,15:00,APXMIDP,06/01/2017,31,63.6,1131.3
06/01/2017 15:30,01/06/2017,15:30,APXMIDP,06/01/2017,32,66.6,1012.5
06/01/2017 16:00,01/06/2017,16:00,APXMIDP,06/01/2017,33,67.42,883.65
06/01/2017 16:30,01/06/2017,16:30,APXMIDP,06/01/2017,34,93.39,869.05
06/01/2017 17:00,01/06/2017,17:00,APXMIDP,06/01/2017,35,96.46,950
06/01/2017 17:30,01/06/2017,17:30,APXMIDP,06/01/2017,36,96.93,1032.85
06/01/2017 18:00,01/06/2017,18:00,APXMIDP,06/01/2017,37,89.94,950.6
06/01/2017 18:30,01/06/2017,18:30,APXMIDP,06/01/2017,38,87.6,1026.5
06/01/2017 19:00,01/06/2017,19:00,APXMIDP,06/01/2017,39,63.48,772.65
06/01/2017 19:30,01/06/2017,19:30,APXMIDP,06/01/2017,40,58,551.85
06/01/2017 20:00,01/06/2017,20:00,APXMIDP,06/01/2017,41,58.4,563.35
06/01/2017 20:30,01/06/2017,20:30,APXMIDP,06/01/2017,42,52.85,686.35
06/01/2017 21:00,01/06/2017,21:00,APXMIDP,06/01/2017,43,47.03,543.25
06/01/2017 21:30,01/06/2017,21:30,APXMIDP,06/01/2017,44,44.25,798.95
06/01/2017 22:00,01/06/2017,22:00,APXMIDP,06/01/2017,45,45.12,822
06/01/2017 22:30,01/06/2017,22:30,APXMIDP,06/01/2017,46,42.69,953
06/01/2017 23:00,01/06/2017,23:00,APXMIDP,06/01/2017,47,41.68,760.65
06/01/2017 23:30,01/06/2017,23:30,APXMIDP,06/01/2017,48,43.72,556.1
07/01/2017 00:00,01/07/2017,00:00,APXMIDP,07/01/2017,1,44.65,547.1
07/01/2017 00:30,01/07/2017,00:30,APXMIDP,07/01/2017,2,51.21,430.75
07/01/2017 01:00,01/07/2017,01:00,APXMIDP,07/01/2017,3,55.16,559.25
07/01/2017 01:30,01/07/2017,01:30,APXMIDP,07/01/2017,4,46.13,365.85
07/01/2017 02:00,01/07/2017,02:00,APXMIDP,07/01/2017,5,44.68,336
07/01/2017 02:30,01/07/2017,02:30,APXMIDP,07/01/2017,6,44.31,258.95
07/01/2017 03:00,01/07/2017,03:00,APXMIDP,07/01/2017,7,41.55,368.6
07/01/2017 03:30,01/07/2017,03:30,APXMIDP,07/01/2017,8,40.38,416.9
07/01/2017 04:00,01/07/2017,04:00,APXMIDP,07/01/2017,9,40.64,504.55
07/01/2017 04:30,01/07/2017,04:30,APXMIDP,07/01/2017,10,40.55,433.6
07/01/2017 05:00,01/07/2017,05:00,APXMIDP,07/01/2017,11,39.86,373.2
07/01/2017 05:30,01/07/2017,05:30,APXMIDP,07/01/2017,12,39.56,583.9
07/01/2017 06:00,01/07/2017,06:00,APXMIDP,07/01/2017,13,41.85,623.85
07/01/2017 06:30,01/07/2017,06:30,APXMIDP,07/01/2017,14,40.04,888.25
07/01/2017 07:00,01/07/2017,07:00,APXMIDP,07/01/2017,15,39.82,484.95
